id,title,description,link,image_link,price,availability,condition,brand
liquidificador-industrial-alta-rotacao-2-litros-af5-cor-prat,Liquidificador Industrial Alta Rotação 2 Litros Af5 Cor Prateado,"Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 4.6/5 e +10mil vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/liquidificador-industrial-alta-rotacao-2-litros-af5-cor-prat.html,https://http2.mlstatic.com/D_Q_NP_2X_909435-MLA99991950467_112025-AB.webp,232 BRL,in stock,new,
suporte-enrolador-de-mangueira-tramontina-78595000-ate-55-me,Suporte Enrolador De Mangueira Tramontina 78595000 Até 55 Metros Com Rodas,"Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 4.7/5 e +50mil vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/suporte-enrolador-de-mangueira-tramontina-78595000-ate-55-me.html,https://http2.mlstatic.com/D_Q_NP_2X_939267-MLA96149462579_102025-AB.webp,159 BRL,in stock,new,
kit-body-splash-barbarius-hidratante-desodorante-masculino,Kit Body Splash Barbarius + Hidratante Desodorante Masculino,"Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 4.6/5 e +100 vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/kit-body-splash-barbarius-hidratante-desodorante-masculino.html,https://http2.mlstatic.com/D_Q_NP_2X_961201-MLB112309088802_062026-AB.webp,71 BRL,in stock,new,
base-suporte-para-pc-notebook-aluminio-portatil-articulado-d,Base Suporte Para PC Notebook Alumínio Portátil Articulado Dobrável,"Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 4.8/5 e +10mil vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/base-suporte-para-pc-notebook-aluminio-portatil-articulado-d.html,https://http2.mlstatic.com/D_Q_NP_2X_719010-MLA110559363083_042026-AB.webp,19 BRL,in stock,new,
smart-tv-4k-50-lg-nano-uhd-ai-nu850,"Smart TV 4K 50"" LG NANO UHD AI NU850","Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 5.0/5 e +100 vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/smart-tv-4k-50-lg-nano-uhd-ai-nu850.html,https://http2.mlstatic.com/D_Q_NP_2X_756409-MLA115252629948_082026-AB.webp,2159 BRL,in stock,new,
cama-elastica-pula-pula-infantil-trampolim-1-4-metros-atentu,"Cama Elástica Pula Pula Infantil Trampolim 1,4 Metros Atentu","Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 4.8/5 e +10mil vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/cama-elastica-pula-pula-infantil-trampolim-1-4-metros-atentu.html,https://http2.mlstatic.com/D_Q_NP_2X_917104-MLA96155675715_102025-AB.webp,254 BRL,in stock,new,
aparador-de-pelos-eletrico-lecom-prova-d-agua-bivolt,Aparador de Pelos Elétrico Lecom Prova D'Água Bivolt,"Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 4.5/5 e +10mil vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/aparador-de-pelos-eletrico-lecom-prova-d-agua-bivolt.html,https://http2.mlstatic.com/D_Q_NP_2X_904329-MLA95656868822_102025-AB.webp,60 BRL,in stock,new,
guarda-roupa-casal-paris-8-portas-4-gavetas-branco,Guarda-Roupa Casal Paris 8 Portas 4 Gavetas Branco,"Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 4.6/5 e +5mil vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/guarda-roupa-casal-paris-8-portas-4-gavetas-branco.html,https://http2.mlstatic.com/D_Q_NP_2X_792622-MLA114188919100_082026-AB.webp,939 BRL,in stock,new,
kit-farol-e-lanterna-premium-para-bicicleta-recarregavel-led,Kit Farol e Lanterna Premium Para Bicicleta Recarregável Led USB 400 Lúmens,"Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 4.6/5 e +1000 vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/kit-farol-e-lanterna-premium-para-bicicleta-recarregavel-led.html,https://http2.mlstatic.com/D_Q_NP_2X_725076-MLA114647175203_072026-AB.webp,15 BRL,in stock,new,
mesinha-de-colo-mdf-suporte-notebook-tablet-copo-sofa-cama,Mesinha De Colo Mdf Suporte Notebook Tablet Copo Sofá Cama,"Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 4.8/5 e +5mil vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/mesinha-de-colo-mdf-suporte-notebook-tablet-copo-sofa-cama.html,https://http2.mlstatic.com/D_Q_NP_2X_878213-MLB74345270887_022024-AB-mesinha-de-colo-mdf-suporte-notebook-tablet-copo-sofa-cama.webp,33 BRL,in stock,new,
geladeira-inteligente-smart-brastemp-frost-free-duplex-51-11,Geladeira Inteligente Smart Brastemp Frost Free Duplex 51 110v/220v,"Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 4.8/5 e +100 vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/geladeira-inteligente-smart-brastemp-frost-free-duplex-51-11.html,https://http2.mlstatic.com/D_Q_NP_2X_857829-MLA108646595151_032026-AB.webp,3609 BRL,in stock,new,
torneira-de-banheiro-quadrada-preta-com-furo-unico-pintada,Torneira De Banheiro Quadrada Preta Com Furo Único Pintada,"Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 4.7/5 e +10mil vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/torneira-de-banheiro-quadrada-preta-com-furo-unico-pintada.html,https://http2.mlstatic.com/D_Q_NP_2X_655681-MLB91477380485_092025-AB.webp,35 BRL,in stock,new,
sandalia-feminina-salto-taca-fino-medio-festa-copinho,Sandália Feminina Salto Taça Fino Médio Festa Copinho,"Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 4.8/5 e +1000 vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/sandalia-feminina-salto-taca-fino-medio-festa-copinho.html,https://http2.mlstatic.com/D_Q_NP_2X_943434-MLB115629197324_092026-AB-sandalia-feminina-salto-taca-fino-medio-festa-copinho.webp,79 BRL,in stock,new,
parafusadeira-furadeira-impacto-the-black-tools-profissional,Parafusadeira Furadeira Impacto The Black Tools Profissional 2 Baterias + Maleta 145 Peças,"Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 4.8/5 e +1000 vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/parafusadeira-furadeira-impacto-the-black-tools-profissional.html,https://http2.mlstatic.com/D_Q_NP_2X_909899-MLA110797840878_052026-AB.webp,299 BRL,in stock,new,
